[0, -10.0, -16.263600970906918]
[1, -9.8, -10.468067930212436]
[2, -9.600000000000001, -4.759877983807123]
[3, -9.400000000000002, -0.6469513053275509]
[4, -9.200000000000003, -5.568913016624124]
[5, -9.000000000000004, -9.857098116131812]
[6, -8.800000000000004, -13.399623691604155]
[7, -8.600000000000005, -16.122474785509375]
[8, -8.400000000000006, -17.988882617909717]
[9, -8.200000000000006, -18.997402477057975]
[10, -8.000000000000007, -19.17888491992995]
[11, -7.800000000000008, -18.592554163364202]
[12, -7.6000000000000085, -17.321418025308155]
[13, -7.400000000000009, -15.46723517599676]
[14, -7.20000000000001, -13.14525871558475]
[15, -7.000000000000011, -10.478961332954512]
[16, -6.800000000000011, -7.594927772388526]
[17, -6.600000000000012, -4.618076359392962]
[18, -6.400000000000013, -1.6673442437421666]
[19, -6.2000000000000135, -1.1480579027338045]
[20, -6.000000000000014, -3.7317455350438427]
[21, -5.800000000000015, -6.002567096469193]
[22, -5.600000000000016, -7.896298597526531]
[23, -5.400000000000016, -9.366631840426527]
[24, -5.200000000000017, -10.385484802643179]
[25, -5.000000000000018, -10.942681992423273]
[26, -4.8000000000000185, -11.045068320522802]
[27, -4.600000000000019, -10.715132072679255]
[28, -4.40000000000002, -9.989220936096624]
[29, -4.200000000000021, -8.915439875447746]
[30, -4.000000000000021, -7.551321219051723]
[31, -3.800000000000022, -5.961355936001964]
[32, -3.6000000000000227, -4.214471152315637]
[33, -3.4000000000000234, -2.3815328990983593]
[34, -3.200000000000024, -0.5329453562422166]
[35, -3.000000000000025, -1.2635911020623514]
[36, -2.8000000000000256, -2.9451105099344446]
[37, -2.6000000000000263, -4.455158168538164]
[38, -2.400000000000027, -5.745281574337038]
[39, -2.2000000000000277, -6.776213178857791]
[40, -2.0000000000000284, -7.518732185030088]
[41, -1.8000000000000291, -7.954201331380879]
[42, -1.6000000000000298, -8.07478253015153]
[43, -1.4000000000000306, -7.8833422280227285]
[44, -1.2000000000000313, -7.393063416634625]
[45, -1.000000000000032, -6.626786344707558]
[46, -0.8000000000000327, -5.616104218843591]
[47, -0.6000000000000334, -4.400243596217958]
[48, -0.4000000000000341, -3.024761856181069]
[49, -0.20000000000003482, -1.540096183779375]
[50, -3.552713678800501e-14, -2.7522709034115595e-13]
[51, 0.19999999999996376, -1.5400961837788336]
[52, 0.39999999999996305, -3.024761856180557]
[53, 0.5999999999999623, -4.4002435962174955]
[54, 0.7999999999999616, -5.616104218843194]
[55, 0.9999999999999609, -6.6267863447072415]
[56, 1.1999999999999602, -7.393063416634399]
[57, 1.3999999999999595, -7.883342228022603]
[58, 1.5999999999999588, -8.074782530151522]
[59, 1.799999999999958, -7.954201331380974]
[60, 1.9999999999999574, -7.518732185030299]
[61, 2.1999999999999567, -6.776213178858109]
[62, 2.399999999999956, -5.7452815743374535]
[63, 2.5999999999999552, -4.455158168538665]
[64, 2.7999999999999545, -2.9451105099350157]
[65, 2.999999999999954, -1.263591102062973]
[66, 3.199999999999953, -0.5329453562415652]
[67, 3.3999999999999524, -2.3815328990977025]
[68, 3.5999999999999517, -4.214471152314996]
[69, 3.799999999999951, -5.961355936001369]
[70, 3.9999999999999503, -7.551321219051196]
[71, 4.1999999999999496, -8.915439875447305]
[72, 4.399999999999949, -9.989220936096295]
[73, 4.599999999999948, -10.715132072679065]
[74, 4.799999999999947, -11.045068320522756]
[75, 4.999999999999947, -10.94268199242339]
[76, 5.199999999999946, -10.38548480264346]
[77, 5.399999999999945, -9.366631840426974]
[78, 5.599999999999945, -7.896298597527129]
[79, 5.799999999999944, -6.002567096469939]
[80, 5.999999999999943, -3.731745535044709]
[81, 6.1999999999999424, -1.1480579027347695]
[82, 6.399999999999942, -1.6673442437411359]
[83, 6.599999999999941, -4.618076359391903]
[84, 6.79999999999994, -7.594927772387474]
[85, 6.99999999999994, -10.47896133295352]
[86, 7.199999999999939, -13.145258715583866]
[87, 7.399999999999938, -15.467235175996016]
[88, 7.5999999999999375, -17.32141802530759]
[89, 7.799999999999937, -18.592554163363864]
[90, 7.999999999999936, -19.178884919929878]
[91, 8.199999999999935, -18.997402477058177]
[92, 8.399999999999935, -17.988882617910203]
[93, 8.599999999999934, -16.122474785510203]
[94, 8.799999999999933, -13.399623691605273]
[95, 8.999999999999932, -9.857098116133212]
[96, 9.199999999999932, -5.5689130166257685]
[97, 9.399999999999931, -0.6469513053293954]
[98, 9.59999999999993, -4.759877983805136]
[99, 9.79999999999993, -10.468067930210383]
